file_id,file_path,speaker_id,label,label_name,attack_id,partition,source_dataset,codec,duration,samplerate
DF_E_2000053,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_2000053.flac,VCC2TM2,0,bonafide,-,evaluation,vcc2018,mp3m4a,3.968,16000
DF_E_3954358,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954358.flac,VCC2TM1,1,spoof,HUB-N08,evaluation,vcc2018,high_mp3,4.965,16000
DF_E_3954368,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954368.flac,VCC2TF2,1,spoof,HUB-D01,evaluation,vcc2018,high_ogg,3.544,16000
DF_E_3954375,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954375.flac,TEF2,1,spoof,Task1-team29,evaluation,vcc2020,oggm4a,1.728,16000
DF_E_3954376,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954376.flac,VCC2TF2,1,spoof,SPO-N11,evaluation,vcc2018,high_ogg,2.904,16000
DF_E_3954384,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954384.flac,TFF1,1,spoof,Task2-team22,evaluation,vcc2020,low_ogg,1.848,16000
DF_E_3954399,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954399.flac,LA_0003,1,spoof,A12,evaluation,asvspoof,low_ogg,1.768,16000
DF_E_3954400,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954400.flac,TMF1,1,spoof,Task2-team24,evaluation,vcc2020,low_ogg,2.92,16000
DF_E_3954402,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954402.flac,VCC2TF1,1,spoof,HUB-D04,evaluation,vcc2018,mp3m4a,3.456,16000
DF_E_3954405,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954405.flac,TMM1,1,spoof,Task2-team05,evaluation,vcc2020,mp3m4a,2.24,16000
DF_E_3954409,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954409.flac,LA_0035,1,spoof,A15,evaluation,asvspoof,oggm4a,4.416,16000
DF_E_3954410,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954410.flac,VCC2TM2,1,spoof,SPO-N05,evaluation,vcc2018,oggm4a,1.344,16000
DF_E_3954414,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954414.flac,LA_0021,1,spoof,A13,evaluation,asvspoof,high_mp3,1.9109375,16000
DF_E_3954434,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954434.flac,VCC2TF1,1,spoof,HUB-N09,evaluation,vcc2018,low_m4a,0.96,16000
DF_E_3954452,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954452.flac,TMM1,1,spoof,Task2-team11,evaluation,vcc2020,high_m4a,4.288,16000
DF_E_3954459,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954459.flac,VCC2TF2,1,spoof,HUB-N07,evaluation,vcc2018,low_ogg,3.912,16000
DF_E_3954463,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954463.flac,VCC2TM1,1,spoof,HUB-N20,evaluation,vcc2018,low_m4a,4.096,16000
DF_E_3954472,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954472.flac,TMF1,1,spoof,Task2-team18,evaluation,vcc2020,mp3m4a,3.52,16000
DF_E_3954473,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954473.flac,LA_0022,1,spoof,A15,evaluation,asvspoof,high_mp3,4.1500625,16000
DF_E_3954477,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954477.flac,VCC2TM2,1,spoof,HUB-D01,evaluation,vcc2018,oggm4a,5.056,16000
DF_E_3954486,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954486.flac,TGM1,1,spoof,Task2-team11,evaluation,vcc2020,high_mp3,2.9100625,16000
DF_E_3954489,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954489.flac,LA_0034,1,spoof,A10,evaluation,asvspoof,nocodec,1.0875,16000
DF_E_3954496,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954496.flac,LA_0018,1,spoof,A17,evaluation,asvspoof,low_mp3,5.33675,16000
DF_E_3954504,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954504.flac,TEM1,1,spoof,Task1-team17,evaluation,vcc2020,low_mp3,3.957375,16000
DF_E_3954513,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954513.flac,TGM1,1,spoof,Task2-team28,evaluation,vcc2020,low_ogg,4.744,16000
DF_E_3954514,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954514.flac,TEF2,1,spoof,Task1-team26,evaluation,vcc2020,mp3m4a,2.624,16000
DF_E_3954515,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954515.flac,TEM1,1,spoof,Task1-team21,evaluation,vcc2020,low_m4a,1.728,16000
DF_E_3954518,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954518.flac,TMM1,1,spoof,Task2-team27,evaluation,vcc2020,high_ogg,2.312,16000
DF_E_3954522,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954522.flac,VCC2TF2,1,spoof,SPO-N11,evaluation,vcc2018,high_m4a,6.528,16000
DF_E_3954526,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954526.flac,VCC2TM1,1,spoof,HUB-N03,evaluation,vcc2018,oggm4a,1.28,16000
DF_E_3954531,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954531.flac,TMM1,1,spoof,Task2-team02,evaluation,vcc2020,low_m4a,2.944,16000
DF_E_3954552,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954552.flac,VCC2TM1,1,spoof,SPO-N18,evaluation,vcc2018,low_m4a,2.816,16000
DF_E_3954562,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954562.flac,LA_0026,1,spoof,A17,evaluation,asvspoof,oggm4a,3.584,16000
DF_E_3954563,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954563.flac,VCC2TF1,1,spoof,HUB-D04,evaluation,vcc2018,low_ogg,0.904,16000
DF_E_3954569,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954569.flac,LA_0007,1,spoof,A12,evaluation,asvspoof,high_mp3,1.18,16000
DF_E_3954583,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954583.flac,LA_0023,1,spoof,A15,evaluation,asvspoof,high_mp3,3.6300625,16000
DF_E_3954584,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954584.flac,TMF1,1,spoof,Task2-team13,evaluation,vcc2020,high_mp3,2.608125,16000
DF_E_3954586,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954586.flac,TGF1,1,spoof,Task2-team16,evaluation,vcc2020,oggm4a,3.84,16000
DF_E_3954588,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954588.flac,TEM2,1,spoof,Task1-team02,evaluation,vcc2020,high_m4a,3.456,16000
DF_E_3954593,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954593.flac,TMM1,1,spoof,Task2-team07,evaluation,vcc2020,low_m4a,1.856,16000
DF_E_3954600,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954600.flac,LA_0021,0,bonafide,-,evaluation,asvspoof,high_ogg,1.1643125,16000
DF_E_3954603,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954603.flac,VCC2TM2,1,spoof,HUB-D02,evaluation,vcc2018,high_ogg,4.328,16000
DF_E_3954611,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954611.flac,TGF1,1,spoof,Task2-team27,evaluation,vcc2020,high_m4a,1.6,16000
DF_E_3954619,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954619.flac,VCC2TF2,1,spoof,HUB-N11,evaluation,vcc2018,low_m4a,4.544,16000
DF_E_3954634,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954634.flac,LA_0032,1,spoof,A13,evaluation,asvspoof,high_ogg,2.44,16000
DF_E_3954636,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954636.flac,TFF1,1,spoof,Task2-team03,evaluation,vcc2020,low_mp3,4.08,16000
DF_E_3954639,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954639.flac,VCC2TM1,1,spoof,HUB-N03,evaluation,vcc2018,nocodec,2.055,16000
DF_E_3954643,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954643.flac,LA_0026,1,spoof,A08,evaluation,asvspoof,high_mp3,3.42,16000
DF_E_3954649,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954649.flac,VCC2TF1,1,spoof,HUB-N09,evaluation,vcc2018,low_m4a,1.6,16000
DF_E_3954650,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954650.flac,VCC2TM1,1,spoof,HUB-N12,evaluation,vcc2018,low_ogg,3.928,16000
DF_E_3954654,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954654.flac,LA_0005,1,spoof,A19,evaluation,asvspoof,low_m4a,4.16,16000
DF_E_3954657,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954657.flac,VCC2TF2,1,spoof,HUB-D02,evaluation,vcc2018,high_m4a,3.2,16000
DF_E_3954658,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954658.flac,LA_0036,1,spoof,A15,evaluation,asvspoof,low_m4a,1.8885625,16000
DF_E_3954659,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954659.flac,VCC2TM1,1,spoof,SPO-N12,evaluation,vcc2018,high_mp3,2.1750625,16000
DF_E_3954662,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954662.flac,VCC2TF1,1,spoof,HUB-D05,evaluation,vcc2018,nocodec,1.6750625,16000
DF_E_3954664,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954664.flac,TGM1,1,spoof,Task2-team09,evaluation,vcc2020,high_ogg,2.936,16000
DF_E_3954666,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954666.flac,TEM1,1,spoof,Task1-team33,evaluation,vcc2020,mp3m4a,3.072,16000
DF_E_3954671,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954671.flac,VCC2TF1,1,spoof,HUB-N09,evaluation,vcc2018,oggm4a,4.928,16000
DF_E_3954673,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954673.flac,TEM2,1,spoof,Task1-team12,evaluation,vcc2020,oggm4a,3.648,16000
DF_E_3954676,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954676.flac,VCC2TF1,1,spoof,SPO-N16,evaluation,vcc2018,nocodec,1.525125,16000
DF_E_3954678,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954678.flac,TEF1,1,spoof,Task1-team17,evaluation,vcc2020,high_ogg,1.344,16000
DF_E_3954682,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954682.flac,TMM1,1,spoof,Task2-team06,evaluation,vcc2020,nocodec,4.86,16000
DF_E_3954686,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954686.flac,VCC2TF2,1,spoof,HUB-D01,evaluation,vcc2018,oggm4a,3.2,16000
DF_E_3954687,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954687.flac,TMM1,1,spoof,Task2-team29,evaluation,vcc2020,low_mp3,1.755625,16000
DF_E_3954689,data/raw/ASVspoof2021_DF_real/ASVspoof2021_DF_eval/flac\DF_E_3954689.flac,TGM1,1,spoof,Task2-team18,evaluation,vcc2020,high_mp3,3.605625,16000
